abstained,answer,answer_em,answer_f1,branch,candidate_ids,citation_support_fraction,citation_validity,citation_verification_passed,context_chars,context_ids,context_routes,context_signals,embedding_index_cost_usd_once,embedding_index_input_tokens_once,end_to_end_ms,fallback,generation_error,generation_ms,generator_completion_tokens,generator_cost_usd,generator_model,generator_prompt_tokens,index_ms_once,language,mrr_10_candidates,mrr_10_context,ndcg_10_candidates,ndcg_10_context,online_cost_usd,query,query_id,recall_candidate_k,recall_context_k,references,regeneration_count,rerank_ms,reranker_cost_usd,reranker_details,reranker_error,reranker_input_tokens,reranker_output_tokens,reranker_requested_model,reranker_resolved_model,retrieval_cost_usd,retrieval_input_tokens,retrieval_ms,retry_count,run_kind,source_contains_gold,split,verification_checks,verification_cost_usd,verification_input_tokens,verification_ms,verification_output_tokens,wrong_answer
False,,,,P,xquad-tr-2b81f10d1c9b|xquad-tr-138af7162b1d|xquad-tr-391129eff6d9|xquad-tr-94de63f55db8|xquad-tr-0829db2785c8|xquad-tr-e43356118978|xquad-tr-3257da1da5c9|xquad-tr-3235577fd416|xquad-tr-9683af0ea7d1|xquad-tr-193e3666bbf5|xquad-tr-65f29f3619dd|xquad-tr-660ba94e4a8b|xquad-tr-02b48bacfd77|xquad-tr-c7f949af8938|xquad-tr-c2d7b0c4ce20|xquad-tr-5d70ee8e7c91|xquad-tr-7af23ea5eb6c|xquad-tr-d300e98e09f7|xquad-tr-d22d36d2718f|xquad-tr-5efd004121af,,,,3063,xquad-tr-2b81f10d1c9b|xquad-tr-391129eff6d9|xquad-tr-138af7162b1d|xquad-tr-94de63f55db8|xquad-tr-0829db2785c8,evidence|evidence|evidence|evidence|evidence,"[{},{},{},{},{}]",,,1661.9118749949848,False,,0.0,,0.0,,,,tr,1.0,1.0,1.0,1.0,0.0005643460000000001,Bu sezon takımdaki en fazla sack etmeyi kim kaydetmiştir?,xquad-tr-56beb4343aeaaa14008c925f,1.0,1.0,Kawann Short,0,1049.0300829987973,0.000564186,"{""strategy"":""pointwise"",""exists"":null,""scores"":{""xquad-tr-2b81f10d1c9b"":0.88,""xquad-tr-391129eff6d9"":0.02,""xquad-tr-138af7162b1d"":0.01,""xquad-tr-94de63f55db8"":0.01,""xquad-tr-0829db2785c8"":0.01,""xquad-tr-e43356118978"":0.01,""xquad-tr-3257da1da5c9"":0.01,""xquad-tr-3235577fd416"":0.01,""xquad-tr-193e3666bbf5"":0.01,""xquad-tr-65f29f3619dd"":0.01,""xquad-tr-660ba94e4a8b"":0.01,""xquad-tr-02b48bacfd77"":0.01,""xquad-tr-c7f949af8938"":0.01,""xquad-tr-c2d7b0c4ce20"":0.01,""xquad-tr-7af23ea5eb6c"":0.01,""xquad-tr-5efd004121af"":0.01,""xquad-tr-9683af0ea7d1"":0.0,""xquad-tr-5d70ee8e7c91"":0.0,""xquad-tr-d300e98e09f7"":0.0,""xquad-tr-d22d36d2718f"":0.0}}",,13433,440,typesafe/jev-1.13,typesafe/jev-1.13-20260917,1.6e-07,16,612.8817919961875,0,real,True,test,,0.0,0,0.0,0,False
False,,,,P,xquad-tr-391129eff6d9|xquad-tr-94de63f55db8|xquad-tr-2b81f10d1c9b|xquad-tr-138af7162b1d|xquad-tr-94077ca0db25|xquad-tr-193e3666bbf5|xquad-tr-ff7d0fa77806|xquad-tr-f3632c9a76b7|xquad-tr-1205a55bc8be|xquad-tr-e43356118978|xquad-tr-7af23ea5eb6c|xquad-tr-4a841f83d10a|xquad-tr-640a0af166e5|xquad-tr-65f29f3619dd|xquad-tr-54ad3394fb35|xquad-tr-1955dfb7dcf8|xquad-tr-cd8ba035f736|xquad-tr-86491cd136e1|xquad-tr-8116185d96cb|xquad-tr-028bfe64cad5,,,,3272,xquad-tr-54ad3394fb35|xquad-tr-391129eff6d9|xquad-tr-94de63f55db8|xquad-tr-2b81f10d1c9b|xquad-tr-94077ca0db25,evidence|evidence|evidence|evidence|evidence,"[{},{},{},{},{}]",,,1699.8524999944493,False,,0.0,,0.0,,,,tr,1.0,0.5,1.0,0.6309297535714575,0.0005747640000000001,Super Bowl XLIX'i kim kazanmıştır?,xquad-tr-56beb7953aeaaa14008c92ad,1.0,1.0,New England Patriots,0,1055.8223330008332,0.000574644,"{""strategy"":""pointwise"",""exists"":null,""scores"":{""xquad-tr-54ad3394fb35"":0.88,""xquad-tr-391129eff6d9"":0.75,""xquad-tr-94de63f55db8"":0.39,""xquad-tr-2b81f10d1c9b"":0.07,""xquad-tr-94077ca0db25"":0.02,""xquad-tr-138af7162b1d"":0.01,""xquad-tr-193e3666bbf5"":0.01,""xquad-tr-ff7d0fa77806"":0.01,""xquad-tr-f3632c9a76b7"":0.01,""xquad-tr-1205a55bc8be"":0.01,""xquad-tr-e43356118978"":0.01,""xquad-tr-7af23ea5eb6c"":0.01,""xquad-tr-4a841f83d10a"":0.01,""xquad-tr-640a0af166e5"":0.01,""xquad-tr-65f29f3619dd"":0.01,""xquad-tr-1955dfb7dcf8"":0.01,""xquad-tr-cd8ba035f736"":0.01,""xquad-tr-86491cd136e1"":0.01,""xquad-tr-8116185d96cb"":0.01,""xquad-tr-028bfe64cad5"":0.01}}",,13682,440,typesafe/jev-1.13,typesafe/jev-1.13-20260917,1.2e-07,12,644.0301669936161,0,real,True,test,,0.0,0,0.0,0,False
False,,,,P,xquad-tr-94de63f55db8|xquad-tr-138af7162b1d|xquad-tr-2b81f10d1c9b|xquad-tr-391129eff6d9|xquad-tr-54ad3394fb35|xquad-tr-e43356118978|xquad-tr-6b70e4d40c90|xquad-tr-65f29f3619dd|xquad-tr-fc07a484dfcc|xquad-tr-655fdb0366c0|xquad-tr-09da7e8547ec|xquad-tr-193e3666bbf5|xquad-tr-3549ea4088fa|xquad-tr-660ba94e4a8b|xquad-tr-3257da1da5c9|xquad-tr-ba97240ac13e|xquad-tr-02b48bacfd77|xquad-tr-c2757e065d82|xquad-tr-4ba7d93f5f1d|xquad-tr-02d7ab96e83c,,,,3707,xquad-tr-94de63f55db8|xquad-tr-391129eff6d9|xquad-tr-54ad3394fb35|xquad-tr-2b81f10d1c9b|xquad-tr-138af7162b1d,evidence|evidence|evidence|evidence|evidence,"[{},{},{},{},{}]",,,1414.2230000143172,False,,0.0,,0.0,,,,tr,1.0,1.0,1.0,1.0,0.0005982979999999999,Bir Super Bowl'da oynayan en yaşlı kilit oyuncu olma rekorunu daha önce kim elinde bulunduruyordu?,xquad-tr-56beb86b3aeaaa14008c92be,1.0,1.0,John Elway,0,895.0082500086864,0.000598038,"{""strategy"":""pointwise"",""exists"":null,""scores"":{""xquad-tr-94de63f55db8"":0.88,""xquad-tr-391129eff6d9"":0.12,""xquad-tr-54ad3394fb35"":0.03,""xquad-tr-2b81f10d1c9b"":0.02,""xquad-tr-138af7162b1d"":0.01,""xquad-tr-e43356118978"":0.01,""xquad-tr-6b70e4d40c90"":0.01,""xquad-tr-65f29f3619dd"":0.01,""xquad-tr-fc07a484dfcc"":0.01,""xquad-tr-655fdb0366c0"":0.01,""xquad-tr-09da7e8547ec"":0.01,""xquad-tr-193e3666bbf5"":0.01,""xquad-tr-660ba94e4a8b"":0.01,""xquad-tr-3257da1da5c9"":0.01,""xquad-tr-ba97240ac13e"":0.01,""xquad-tr-02b48bacfd77"":0.01,""xquad-tr-3549ea4088fa"":0.0,""xquad-tr-c2757e065d82"":0.0,""xquad-tr-4ba7d93f5f1d"":0.0,""xquad-tr-02d7ab96e83c"":0.0}}",,14239,440,typesafe/jev-1.13,typesafe/jev-1.13-20260917,2.6e-07,26,519.2147500056308,0,real,True,test,,0.0,0,0.0,0,False
False,,,,P,xquad-tr-94de63f55db8|xquad-tr-391129eff6d9|xquad-tr-3257da1da5c9|xquad-tr-54ad3394fb35|xquad-tr-4de586fed59c|xquad-tr-655fdb0366c0|xquad-tr-d1dc8f55bc69|xquad-tr-a315f6bc59d0|xquad-tr-1a02c22956bb|xquad-tr-76761ccdae4e|xquad-tr-4dd6fa6daf72|xquad-tr-2b81f10d1c9b|xquad-tr-193e3666bbf5|xquad-tr-6b70e4d40c90|xquad-tr-cd8ba035f736|xquad-tr-13344c31f203|xquad-tr-02b48bacfd77|xquad-tr-138af7162b1d|xquad-tr-00131885f61f|xquad-tr-1955dfb7dcf8,,,,3868,xquad-tr-94de63f55db8|xquad-tr-391129eff6d9|xquad-tr-54ad3394fb35|xquad-tr-3257da1da5c9|xquad-tr-4de586fed59c,evidence|evidence|evidence|evidence|evidence,"[{},{},{},{},{}]",,,1602.4659579852596,False,,0.0,,0.0,,,,tr,1.0,1.0,1.0,1.0,0.000610618,John Elway'in şu anki Broncos üyeliğindeki rolü nedir?,xquad-tr-56beb86b3aeaaa14008c92c0,1.0,1.0,Futbol Operasyonları Başkan Yardımcısı ve Genel Müdür'ü,0,1056.3029579934664,0.000610428,"{""strategy"":""pointwise"",""exists"":null,""scores"":{""xquad-tr-94de63f55db8"":0.85,""xquad-tr-391129eff6d9"":0.02,""xquad-tr-54ad3394fb35"":0.02,""xquad-tr-3257da1da5c9"":0.01,""xquad-tr-4de586fed59c"":0.01,""xquad-tr-655fdb0366c0"":0.01,""xquad-tr-a315f6bc59d0"":0.01,""xquad-tr-1a02c22956bb"":0.01,""xquad-tr-4dd6fa6daf72"":0.01,""xquad-tr-2b81f10d1c9b"":0.01,""xquad-tr-193e3666bbf5"":0.01,""xquad-tr-6b70e4d40c90"":0.01,""xquad-tr-cd8ba035f736"":0.01,""xquad-tr-13344c31f203"":0.01,""xquad-tr-02b48bacfd77"":0.01,""xquad-tr-138af7162b1d"":0.01,""xquad-tr-00131885f61f"":0.01,""xquad-tr-1955dfb7dcf8"":0.01,""xquad-tr-d1dc8f55bc69"":0.0,""xquad-tr-76761ccdae4e"":0.0}}",,14534,440,typesafe/jev-1.13,typesafe/jev-1.13-20260917,1.9e-07,19,546.1629999917932,0,real,True,test,,0.0,0,0.0,0,False
False,,,,P,xquad-tr-94de63f55db8|xquad-tr-391129eff6d9|xquad-tr-2b81f10d1c9b|xquad-tr-13344c31f203|xquad-tr-4de586fed59c|xquad-tr-02b48bacfd77|xquad-tr-294593759fcc|xquad-tr-3257da1da5c9|xquad-tr-5d6c794a5589|xquad-tr-54ad3394fb35|xquad-tr-cd8ba035f736|xquad-tr-0395d7cf3439|xquad-tr-640a0af166e5|xquad-tr-655fdb0366c0|xquad-tr-625cca9213ec|xquad-tr-3ef5f57c6f4b|xquad-tr-01a436bd8738|xquad-tr-da0a49ac3dbf|xquad-tr-b90a454768e8|xquad-tr-4a841f83d10a,,,,4146,xquad-tr-94de63f55db8|xquad-tr-54ad3394fb35|xquad-tr-391129eff6d9|xquad-tr-2b81f10d1c9b|xquad-tr-13344c31f203,evidence|evidence|evidence|evidence|evidence,"[{},{},{},{},{}]",,,1285.9997909981757,False,,0.0,,0.0,,,,tr,1.0,1.0,1.0,1.0,0.00060749,John Elway Super Bowl XXXIII'te kimin için oynamıştır?,xquad-tr-56beb86b3aeaaa14008c92c1,1.0,1.0,Broncos,0,877.743457996985,0.0006073200000000001,"{""strategy"":""pointwise"",""exists"":null,""scores"":{""xquad-tr-94de63f55db8"":0.85,""xquad-tr-54ad3394fb35"":0.26,""xquad-tr-391129eff6d9"":0.14,""xquad-tr-2b81f10d1c9b"":0.02,""xquad-tr-13344c31f203"":0.01,""xquad-tr-4de586fed59c"":0.01,""xquad-tr-02b48bacfd77"":0.01,""xquad-tr-294593759fcc"":0.01,""xquad-tr-3257da1da5c9"":0.01,""xquad-tr-5d6c794a5589"":0.01,""xquad-tr-cd8ba035f736"":0.01,""xquad-tr-0395d7cf3439"":0.01,""xquad-tr-655fdb0366c0"":0.01,""xquad-tr-3ef5f57c6f4b"":0.01,""xquad-tr-da0a49ac3dbf"":0.01,""xquad-tr-b90a454768e8"":0.01,""xquad-tr-4a841f83d10a"":0.01,""xquad-tr-640a0af166e5"":0.0,""xquad-tr-625cca9213ec"":0.0,""xquad-tr-01a436bd8738"":0.0}}",,14460,440,typesafe/jev-1.13,typesafe/jev-1.13-20260917,1.7e-07,17,408.2563330011908,0,real,True,test,,0.0,0,0.0,0,False
False,,,,P,xquad-tr-94077ca0db25|xquad-tr-00131885f61f|xquad-tr-47af34496cb9|xquad-tr-0da52699e654|xquad-tr-0395d7cf3439|xquad-tr-01a436bd8738|xquad-tr-032f09b0043b|xquad-tr-172516aff4b2|xquad-tr-13344c31f203|xquad-tr-4ce3b039da5b|xquad-tr-33a85f292858|xquad-tr-07b450b99a51|xquad-tr-515e520983bf|xquad-tr-1205a55bc8be|xquad-tr-340f1c764a20|xquad-tr-496fa29a1810|xquad-tr-5550c7743e65|xquad-tr-63a31756327f|xquad-tr-028bfe64cad5|xquad-tr-17f8de581e6d,,,,3200,xquad-tr-94077ca0db25|xquad-tr-0da52699e654|xquad-tr-13344c31f203|xquad-tr-032f09b0043b|xquad-tr-4ce3b039da5b,evidence|evidence|evidence|evidence|evidence,"[{},{},{},{},{}]",,,1575.7889170054113,False,,0.0,,0.0,,,,tr,1.0,1.0,1.0,1.0,0.000642018,Lady Gaga neyi söylemiştir?,xquad-tr-56bec6ac3aeaaa14008c93fe,1.0,1.0,ulusal marşı,0,920.406000004732,0.0006419279999999999,"{""strategy"":""pointwise"",""exists"":null,""scores"":{""xquad-tr-94077ca0db25"":0.47,""xquad-tr-0da52699e654"":0.06,""xquad-tr-13344c31f203"":0.05,""xquad-tr-032f09b0043b"":0.04,""xquad-tr-4ce3b039da5b"":0.04,""xquad-tr-47af34496cb9"":0.03,""xquad-tr-5550c7743e65"":0.03,""xquad-tr-0395d7cf3439"":0.02,""xquad-tr-01a436bd8738"":0.02,""xquad-tr-172516aff4b2"":0.02,""xquad-tr-07b450b99a51"":0.02,""xquad-tr-1205a55bc8be"":0.02,""xquad-tr-340f1c764a20"":0.02,""xquad-tr-63a31756327f"":0.02,""xquad-tr-00131885f61f"":0.01,""xquad-tr-33a85f292858"":0.01,""xquad-tr-515e520983bf"":0.01,""xquad-tr-496fa29a1810"":0.01,""xquad-tr-028bfe64cad5"":0.01,""xquad-tr-17f8de581e6d"":0.01}}",,15284,440,typesafe/jev-1.13,typesafe/jev-1.13-20260917,9e-08,9,655.3829170006793,0,real,True,test,,0.0,0,0.0,0,False
False,,,,P,xquad-tr-94077ca0db25|xquad-tr-193e3666bbf5|xquad-tr-57db7183a0c4|xquad-tr-028bfe64cad5|xquad-tr-13344c31f203|xquad-tr-00131885f61f|xquad-tr-0395d7cf3439|xquad-tr-138af7162b1d|xquad-tr-2b81f10d1c9b|xquad-tr-391129eff6d9|xquad-tr-07b450b99a51|xquad-tr-1955dfb7dcf8|xquad-tr-32ef242629e9|xquad-tr-076a132122cb|xquad-tr-0cec58654d5a|xquad-tr-c53f1075698c|xquad-tr-01a436bd8738|xquad-tr-1b0c70acfbe4|xquad-tr-3257da1da5c9|xquad-tr-0da52699e654,,,,2989,xquad-tr-94077ca0db25|xquad-tr-193e3666bbf5|xquad-tr-57db7183a0c4|xquad-tr-028bfe64cad5|xquad-tr-13344c31f203,evidence|evidence|evidence|evidence|evidence,"[{},{},{},{},{}]",,,1763.8079160096822,False,,0.0,,0.0,,,,tr,1.0,1.0,1.0,1.0,0.000588582,Marlee Matlin hangi ödülü kazanmıştır?,xquad-tr-56bec6ac3aeaaa14008c93ff,1.0,1.0,Akademi Ödülü,0,941.4727910043439,0.000588462,"{""strategy"":""pointwise"",""exists"":null,""scores"":{""xquad-tr-94077ca0db25"":0.79,""xquad-tr-193e3666bbf5"":0.01,""xquad-tr-57db7183a0c4"":0.01,""xquad-tr-028bfe64cad5"":0.01,""xquad-tr-13344c31f203"":0.01,""xquad-tr-00131885f61f"":0.01,""xquad-tr-0395d7cf3439"":0.01,""xquad-tr-138af7162b1d"":0.01,""xquad-tr-2b81f10d1c9b"":0.01,""xquad-tr-391129eff6d9"":0.01,""xquad-tr-07b450b99a51"":0.01,""xquad-tr-1955dfb7dcf8"":0.01,""xquad-tr-32ef242629e9"":0.01,""xquad-tr-0cec58654d5a"":0.01,""xquad-tr-c53f1075698c"":0.01,""xquad-tr-01a436bd8738"":0.01,""xquad-tr-1b0c70acfbe4"":0.01,""xquad-tr-3257da1da5c9"":0.01,""xquad-tr-0da52699e654"":0.01,""xquad-tr-076a132122cb"":0.0}}",,14011,440,typesafe/jev-1.13,typesafe/jev-1.13-20260917,1.2e-07,12,822.3351250053383,0,real,True,test,,0.0,0,0.0,0,False
False,,,,P,xquad-tr-391129eff6d9|xquad-tr-94de63f55db8|xquad-tr-ff7d0fa77806|xquad-tr-54ad3394fb35|xquad-tr-33a85f292858|xquad-tr-3ec52ccce002|xquad-tr-b64734a6ca82|xquad-tr-7af23ea5eb6c|xquad-tr-32f9b3f9058f|xquad-tr-94077ca0db25|xquad-tr-d3201e523e0b|xquad-tr-32ef242629e9|xquad-tr-676f15c5743e|xquad-tr-85c71e54c978|xquad-tr-ab204f003977|xquad-tr-2b81f10d1c9b|xquad-tr-193e3666bbf5|xquad-tr-d1dc8f55bc69|xquad-tr-f4f06203cea7|xquad-tr-f4bcf5ea40ac,,,,3873,xquad-tr-391129eff6d9|xquad-tr-54ad3394fb35|xquad-tr-94de63f55db8|xquad-tr-2b81f10d1c9b|xquad-tr-ff7d0fa77806,evidence|evidence|evidence|evidence|evidence,"[{},{},{},{},{}]",,,1937.5415420072386,False,,0.0,,0.0,,,,tr,1.0,1.0,1.0,1.0,0.000587026,Broncos ve Steelers arasındaki bölge turu kazananı hangi takımdı?,xquad-tr-56bf36b93aeaaa14008c9561,1.0,1.0,Broncos,0,1298.0037500092294,0.000586866,"{""strategy"":""pointwise"",""exists"":null,""scores"":{""xquad-tr-391129eff6d9"":0.95,""xquad-tr-54ad3394fb35"":0.26,""xquad-tr-94de63f55db8"":0.05,""xquad-tr-2b81f10d1c9b"":0.02,""xquad-tr-ff7d0fa77806"":0.01,""xquad-tr-33a85f292858"":0.01,""xquad-tr-3ec52ccce002"":0.01,""xquad-tr-b64734a6ca82"":0.01,""xquad-tr-7af23ea5eb6c"":0.01,""xquad-tr-32f9b3f9058f"":0.01,""xquad-tr-94077ca0db25"":0.01,""xquad-tr-d3201e523e0b"":0.01,""xquad-tr-676f15c5743e"":0.01,""xquad-tr-85c71e54c978"":0.01,""xquad-tr-193e3666bbf5"":0.01,""xquad-tr-d1dc8f55bc69"":0.01,""xquad-tr-f4bcf5ea40ac"":0.01,""xquad-tr-32ef242629e9"":0.0,""xquad-tr-ab204f003977"":0.0,""xquad-tr-f4f06203cea7"":0.0}}",,13973,440,typesafe/jev-1.13,typesafe/jev-1.13-20260917,1.6e-07,16,639.5377919980092,0,real,True,test,,0.0,0,0.0,0,False
False,,,,P,xquad-tr-94077ca0db25|xquad-tr-47af34496cb9|xquad-tr-0395d7cf3439|xquad-tr-138af7162b1d|xquad-tr-e43356118978|xquad-tr-717a8e567f6e|xquad-tr-f3e8bd7eda23|xquad-tr-13344c31f203|xquad-tr-028bfe64cad5|xquad-tr-2096d87118ed|xquad-tr-655fdb0366c0|xquad-tr-172516aff4b2|xquad-tr-c84dc45a4483|xquad-tr-56eda5522458|xquad-tr-032f09b0043b|xquad-tr-496fa29a1810|xquad-tr-00131885f61f|xquad-tr-294593759fcc|xquad-tr-4de586fed59c|xquad-tr-34fa99e66bd1,,,,3345,xquad-tr-94077ca0db25|xquad-tr-717a8e567f6e|xquad-tr-0395d7cf3439|xquad-tr-4de586fed59c|xquad-tr-e43356118978,evidence|evidence|evidence|evidence|evidence,"[{},{},{},{},{}]",,,1621.3427079928806,False,,0.0,,0.0,,,,tr,1.0,1.0,1.0,1.0,0.00063912,Ulusal marşı kim söylemiştir?,xquad-tr-56d20650e7d4791d00902614,1.0,1.0,Lady Gaga,0,927.5966249988414,0.00063903,"{""strategy"":""pointwise"",""exists"":null,""scores"":{""xquad-tr-94077ca0db25"":0.47,""xquad-tr-717a8e567f6e"":0.18,""xquad-tr-0395d7cf3439"":0.04,""xquad-tr-4de586fed59c"":0.03,""xquad-tr-e43356118978"":0.02,""xquad-tr-f3e8bd7eda23"":0.02,""xquad-tr-032f09b0043b"":0.02,""xquad-tr-496fa29a1810"":0.02,""xquad-tr-294593759fcc"":0.02,""xquad-tr-34fa99e66bd1"":0.02,""xquad-tr-47af34496cb9"":0.01,""xquad-tr-138af7162b1d"":0.01,""xquad-tr-13344c31f203"":0.01,""xquad-tr-028bfe64cad5"":0.01,""xquad-tr-2096d87118ed"":0.01,""xquad-tr-655fdb0366c0"":0.01,""xquad-tr-172516aff4b2"":0.01,""xquad-tr-c84dc45a4483"":0.01,""xquad-tr-56eda5522458"":0.01,""xquad-tr-00131885f61f"":0.01}}",,15215,440,typesafe/jev-1.13,typesafe/jev-1.13-20260917,9e-08,9,693.7460829940392,0,real,True,test,,0.0,0,0.0,0,False
False,,,,P,xquad-tr-94de63f55db8|xquad-tr-391129eff6d9|xquad-tr-2b81f10d1c9b|xquad-tr-54ad3394fb35|xquad-tr-138af7162b1d|xquad-tr-6b70e4d40c90|xquad-tr-fc07a484dfcc|xquad-tr-09da7e8547ec|xquad-tr-193e3666bbf5|xquad-tr-655fdb0366c0|xquad-tr-c9aace6a287e|xquad-tr-c0272f2104fa|xquad-tr-02d7ab96e83c|xquad-tr-3549ea4088fa|xquad-tr-85dd07128939|xquad-tr-e43356118978|xquad-tr-1a02c22956bb|xquad-tr-3235577fd416|xquad-tr-ba97240ac13e|xquad-tr-d22d36d2718f,,,,3707,xquad-tr-94de63f55db8|xquad-tr-391129eff6d9|xquad-tr-2b81f10d1c9b|xquad-tr-54ad3394fb35|xquad-tr-138af7162b1d,evidence|evidence|evidence|evidence|evidence,"[{},{},{},{},{}]",,,1530.1955420000013,False,,0.0,,0.0,,,,tr,1.0,1.0,1.0,1.0,0.00059326,Manning'den önce bir Super Bowl'da oynayan en yaşlı kilit oyuncu kimdir?,xquad-tr-56d704430d65d214001982e1,1.0,1.0,John Elway,0,1025.451042005443,0.00059304,"{""strategy"":""pointwise"",""exists"":null,""scores"":{""xquad-tr-94de63f55db8"":0.79,""xquad-tr-391129eff6d9"":0.04,""xquad-tr-2b81f10d1c9b"":0.03,""xquad-tr-54ad3394fb35"":0.03,""xquad-tr-138af7162b1d"":0.01,""xquad-tr-6b70e4d40c90"":0.01,""xquad-tr-fc07a484dfcc"":0.01,""xquad-tr-09da7e8547ec"":0.01,""xquad-tr-193e3666bbf5"":0.01,""xquad-tr-655fdb0366c0"":0.01,""xquad-tr-c9aace6a287e"":0.01,""xquad-tr-c0272f2104fa"":0.01,""xquad-tr-3549ea4088fa"":0.01,""xquad-tr-85dd07128939"":0.01,""xquad-tr-e43356118978"":0.01,""xquad-tr-3235577fd416"":0.01,""xquad-tr-ba97240ac13e"":0.01,""xquad-tr-d22d36d2718f"":0.01,""xquad-tr-02d7ab96e83c"":0.0,""xquad-tr-1a02c22956bb"":0.0}}",,14120,440,typesafe/jev-1.13,typesafe/jev-1.13-20260917,2.2e-07,22,504.7444999945583,0,real,True,test,,0.0,0,0.0,0,False
