abstained,answer,answer_em,answer_f1,branch,candidate_ids,citation_validity,context_chars,context_ids,end_to_end_ms,fallback,generation_error,generation_ms,generator_completion_tokens,generator_cost_usd,generator_model,generator_prompt_tokens,index_ms_once,language,mrr_10_candidates,mrr_10_context,ndcg_10_candidates,ndcg_10_context,online_cost_usd,query,query_id,recall_candidate_k,recall_context_k,references,rerank_ms,reranker_cost_usd,reranker_error,reranker_input_tokens,reranker_output_tokens,reranker_requested_model,reranker_resolved_model,retrieval_ms,retry_count,run_kind,source_contains_gold,split,wrong_answer
False,"Holden, Victoria fabrikasını Mayıs 2013'te kapatacağını duyurmuştur [xquad-tr-3ef5f57c6f4b].",0.0,0.22222222222222224,A,xquad-tr-3ef5f57c6f4b|xquad-tr-fc07a484dfcc|xquad-tr-868c6ec8815b|xquad-tr-c2d7b0c4ce20|xquad-tr-56eda5522458|xquad-tr-84c0e5879b5d|xquad-tr-cf9d3c41c0ee|xquad-tr-57db7183a0c4|xquad-tr-cc3cff2b6711|xquad-tr-d3201e523e0b|xquad-tr-02d7ab96e83c|xquad-tr-dfff3315b967|xquad-tr-54ad3394fb35|xquad-tr-8849e9f42f01|xquad-tr-b2be6da0eb69|xquad-tr-0d54e1458a4d|xquad-tr-515e520983bf|xquad-tr-b0a07a94d027|xquad-tr-28724ad8bf70|xquad-tr-07b450b99a51,1.0,3425,xquad-tr-3ef5f57c6f4b|xquad-tr-fc07a484dfcc|xquad-tr-868c6ec8815b|xquad-tr-c2d7b0c4ce20|xquad-tr-56eda5522458,1398.0056660002447,False,,1397.8026250006224,41,4.238e-05,qwen/qwen3.7-flash,1235,5.318041999998968,tr,1.0,1.0,1.0,1.0,4.238e-05,Holden Victoria fabrikasını kapatacağını ne zaman duyurmuştur?,xquad-tr-570d3468b3d812140066d545,1.0,1.0,Mayıs 2013,0.0,0.0,,,,,,0.20304099962231703,0,real,True,test,True
False,"Holden, Victoria fabrikasını Mayıs 2013'te kapatacağını duyurmuştur [xquad-tr-3ef5f57c6f4b].",0.0,0.22222222222222224,D,xquad-tr-3ef5f57c6f4b|xquad-tr-fc07a484dfcc|xquad-tr-868c6ec8815b|xquad-tr-c2d7b0c4ce20|xquad-tr-56eda5522458|xquad-tr-84c0e5879b5d|xquad-tr-cf9d3c41c0ee|xquad-tr-57db7183a0c4|xquad-tr-cc3cff2b6711|xquad-tr-d3201e523e0b|xquad-tr-02d7ab96e83c|xquad-tr-dfff3315b967|xquad-tr-54ad3394fb35|xquad-tr-8849e9f42f01|xquad-tr-b2be6da0eb69|xquad-tr-0d54e1458a4d|xquad-tr-515e520983bf|xquad-tr-b0a07a94d027|xquad-tr-28724ad8bf70|xquad-tr-07b450b99a51,1.0,3793,xquad-tr-3ef5f57c6f4b|xquad-tr-cf9d3c41c0ee|xquad-tr-b0a07a94d027|xquad-tr-28724ad8bf70|xquad-tr-54ad3394fb35,1918.5209989991563,False,,1405.0031250008033,41,4.547e-05,qwen/qwen3.7-flash,1338,,tr,1.0,1.0,1.0,1.0,0.00040688,Holden Victoria fabrikasını kapatacağını ne zaman duyurmuştur?,xquad-tr-570d3468b3d812140066d545,1.0,1.0,Mayıs 2013,513.3148329987307,0.00036141,,8605,374,typesafe/jev-1.13,typesafe/jev-1.13-20260917,0.20304099962231703,0,real,True,test,True
False,"Kubilay'ın hükümetinde Çin tarzı unsurlara ilham veren hanedanlıklar Tang, Song, Liao ve Kin hanedanlarıdır [xquad-tr-1005ea8ca58f].",0.0,0.41666666666666663,D,xquad-tr-1005ea8ca58f|xquad-tr-2d75b44c21c1|xquad-tr-1b9bdfc6fcad|xquad-tr-6fea66e18af0|xquad-tr-5e639bf17208|xquad-tr-02d7ab96e83c|xquad-tr-f3e8bd7eda23|xquad-tr-0395d7cf3439|xquad-tr-32f9b3f9058f|xquad-tr-496fa29a1810|xquad-tr-1a004f10d96c|xquad-tr-61d21e7047fd|xquad-tr-b64734a6ca82|xquad-tr-f3073d3cd894|xquad-tr-483d3afb8e0d|xquad-tr-56eda5522458|xquad-tr-699a8785e8af|xquad-tr-5d57febd31d2|xquad-tr-301b639f3ac9|xquad-tr-1a02c22956bb,1.0,5866,xquad-tr-1005ea8ca58f|xquad-tr-6fea66e18af0|xquad-tr-1b9bdfc6fcad|xquad-tr-f3e8bd7eda23|xquad-tr-02d7ab96e83c,1609.8369989995263,False,,1075.336124999012,49,6.703e-05,qwen/qwen3.7-flash,2022,,tr,1.0,1.0,1.0,1.0,0.000457336,Hangi hanedanlıklar Kubilay'ın hükümetinde Çin tarzı unsurlara ilham olmuştur?,xquad-tr-57287d4a2ca10214002da3e5,1.0,1.0,"Tang, Song, aynı zamanda Hitay Liao ve Curçen Kin hanedanlıkları",533.6805410006491,0.000390306,,9293,374,typesafe/jev-1.13,typesafe/jev-1.13-20260917,0.8203329998650588,0,real,True,test,True
False,"Kubilay'ın hükümetindeki Çin tarzı unsurlara Tang, Song, Liao ve Kin hanedanlıkları ilham kaynağı olmuştur [xquad-tr-1005ea8ca58f].",0.0,0.5,A,xquad-tr-1005ea8ca58f|xquad-tr-2d75b44c21c1|xquad-tr-1b9bdfc6fcad|xquad-tr-6fea66e18af0|xquad-tr-5e639bf17208|xquad-tr-02d7ab96e83c|xquad-tr-f3e8bd7eda23|xquad-tr-0395d7cf3439|xquad-tr-32f9b3f9058f|xquad-tr-496fa29a1810|xquad-tr-1a004f10d96c|xquad-tr-61d21e7047fd|xquad-tr-b64734a6ca82|xquad-tr-f3073d3cd894|xquad-tr-483d3afb8e0d|xquad-tr-56eda5522458|xquad-tr-699a8785e8af|xquad-tr-5d57febd31d2|xquad-tr-301b639f3ac9|xquad-tr-1a02c22956bb,1.0,5572,xquad-tr-1005ea8ca58f|xquad-tr-2d75b44c21c1|xquad-tr-1b9bdfc6fcad|xquad-tr-6fea66e18af0|xquad-tr-5e639bf17208,1229.6324160015502,False,,1228.812083001685,52,6.496e-05,qwen/qwen3.7-flash,1940,,tr,1.0,1.0,1.0,1.0,6.496e-05,Hangi hanedanlıklar Kubilay'ın hükümetinde Çin tarzı unsurlara ilham olmuştur?,xquad-tr-57287d4a2ca10214002da3e5,1.0,1.0,"Tang, Song, aynı zamanda Hitay Liao ve Curçen Kin hanedanlıkları",0.0,0.0,,,,,,0.8203329998650588,0,real,True,test,True
True,Kaynaklarda bu soruyu yanıtlamak için yeterli kanıt yok.,0.0,0.0,A,xquad-tr-ec8b393a2f7b|xquad-tr-57db7183a0c4|xquad-tr-5d57febd31d2|xquad-tr-cc3cff2b6711|xquad-tr-65f5d5b07220|xquad-tr-9f588a6112f7|xquad-tr-dfff3315b967|xquad-tr-3c9d10101c61|xquad-tr-b55d18823712|xquad-tr-c84dc45a4483|xquad-tr-95526a3d3722|xquad-tr-c2d7b0c4ce20|xquad-tr-47af34496cb9|xquad-tr-b0a07a94d027|xquad-tr-4dd6fa6daf72|xquad-tr-1434d4ebf733|xquad-tr-e45932b173af|xquad-tr-5c6663dbdc73|xquad-tr-3235577fd416|xquad-tr-172516aff4b2,0.0,2972,xquad-tr-ec8b393a2f7b|xquad-tr-57db7183a0c4|xquad-tr-5d57febd31d2|xquad-tr-cc3cff2b6711|xquad-tr-65f5d5b07220,830.9072090014524,False,,830.2774590010813,15,3.603e-05,qwen/qwen3.7-flash,1136,,tr,0.0,0.0,0.0,0.0,3.603e-05,Bulgulara göre sidippidler ne değildir?,xquad-tr-5725c91e38643c19005accec,0.0,0.0,monofiletik,0.0,0.0,,,,,,0.629750000371132,0,real,False,test,True
True,Kaynaklarda bu soruyu yanıtlamak için yeterli kanıt yok.,0.0,0.0,D,xquad-tr-ec8b393a2f7b|xquad-tr-57db7183a0c4|xquad-tr-5d57febd31d2|xquad-tr-cc3cff2b6711|xquad-tr-65f5d5b07220|xquad-tr-9f588a6112f7|xquad-tr-dfff3315b967|xquad-tr-3c9d10101c61|xquad-tr-b55d18823712|xquad-tr-c84dc45a4483|xquad-tr-95526a3d3722|xquad-tr-c2d7b0c4ce20|xquad-tr-47af34496cb9|xquad-tr-b0a07a94d027|xquad-tr-4dd6fa6daf72|xquad-tr-1434d4ebf733|xquad-tr-e45932b173af|xquad-tr-5c6663dbdc73|xquad-tr-3235577fd416|xquad-tr-172516aff4b2,0.0,5652,xquad-tr-65f5d5b07220|xquad-tr-5d57febd31d2|xquad-tr-c2d7b0c4ce20|xquad-tr-47af34496cb9|xquad-tr-b0a07a94d027,1452.8634999987844,False,,935.5337919987505,15,5.85e-05,qwen/qwen3.7-flash,1885,,tr,0.0,0.0,0.0,0.0,0.000476526,Bulgulara göre sidippidler ne değildir?,xquad-tr-5725c91e38643c19005accec,0.0,0.0,monofiletik,516.6999579996627,0.000418026,,9953,374,typesafe/jev-1.13,typesafe/jev-1.13-20260917,0.629750000371132,0,real,False,test,True
False,"Chicago Üniversitesi Laboratuvar Okulları, K-12 öğrencileri ve günlük bakım için özel bir gündüz okuludur [xquad-tr-bc6c7ad63735].",0.0,0.4444444444444445,D,xquad-tr-bc6c7ad63735|xquad-tr-c0272f2104fa|xquad-tr-78d4b5c3b411|xquad-tr-c8b68ce4b8fd|xquad-tr-f3e8bd7eda23|xquad-tr-22250b569864|xquad-tr-91160634d19f|xquad-tr-e45932b173af|xquad-tr-b90a454768e8|xquad-tr-4ba7d93f5f1d|xquad-tr-95526a3d3722|xquad-tr-71addbef986e|xquad-tr-7f444e38fda5|xquad-tr-5049f29404c9|xquad-tr-65f5d5b07220|xquad-tr-1205a55bc8be|xquad-tr-6aaf26e70f3b|xquad-tr-86491cd136e1|xquad-tr-7576438f5501|xquad-tr-b2be6da0eb69,1.0,5107,xquad-tr-bc6c7ad63735|xquad-tr-7f444e38fda5|xquad-tr-5049f29404c9|xquad-tr-6aaf26e70f3b|xquad-tr-86491cd136e1,1897.6426660010475,False,,1177.1662499995728,41,5.627e-05,qwen/qwen3.7-flash,1698,,tr,1.0,1.0,1.0,1.0,0.00041986400000000004,"Üniversitenin yürüttüğü, K-12 öğrencileri için özel gündüz okulunun ismi nedir?",xquad-tr-572855973acd2414000df925,1.0,1.0,Chicago Üniversitesi Laboratuvar Okulları,718.21329100203,0.000363594,,8657,374,typesafe/jev-1.13,typesafe/jev-1.13-20260917,2.263124999444699,0,real,True,test,True
True,"Chicago Üniversitesi Laboratuvar Okulları, K-12 öğrencileri ve günlük bakım için özel bir gündüz okuludur [xquad-tr-bc6c7ad63735].

Kaynaklarda bu soruyu yanıtlamak için yeterli kanıt yok.",0.0,0.3076923076923077,A,xquad-tr-bc6c7ad63735|xquad-tr-c0272f2104fa|xquad-tr-78d4b5c3b411|xquad-tr-c8b68ce4b8fd|xquad-tr-f3e8bd7eda23|xquad-tr-22250b569864|xquad-tr-91160634d19f|xquad-tr-e45932b173af|xquad-tr-b90a454768e8|xquad-tr-4ba7d93f5f1d|xquad-tr-95526a3d3722|xquad-tr-71addbef986e|xquad-tr-7f444e38fda5|xquad-tr-5049f29404c9|xquad-tr-65f5d5b07220|xquad-tr-1205a55bc8be|xquad-tr-6aaf26e70f3b|xquad-tr-86491cd136e1|xquad-tr-7576438f5501|xquad-tr-b2be6da0eb69,1.0,3567,xquad-tr-bc6c7ad63735|xquad-tr-c0272f2104fa|xquad-tr-78d4b5c3b411|xquad-tr-c8b68ce4b8fd|xquad-tr-f3e8bd7eda23,1254.1894579990185,False,,1251.9263329995738,57,4.683e-05,qwen/qwen3.7-flash,1314,,tr,1.0,1.0,1.0,1.0,4.683e-05,"Üniversitenin yürüttüğü, K-12 öğrencileri için özel gündüz okulunun ismi nedir?",xquad-tr-572855973acd2414000df925,1.0,1.0,Chicago Üniversitesi Laboratuvar Okulları,0.0,0.0,,,,,,2.263124999444699,0,real,True,test,True
False,"Amazon yağmur ormanı, Güney Amerika'nın Amazon havzasının çoğunu kaplayan bir nemli geniş yapraklı ormandır [xquad-tr-49c0972ee320]. Bu bölge, dünyadaki en büyük ve en çok biyoçeşitliliğe sahip tropik yağmur ormanı alanını içermektedir [xquad-tr-49c0972ee320].",0.0,0.18181818181818182,A,xquad-tr-49c0972ee320|xquad-tr-1a02c22956bb|xquad-tr-102947b53d99|xquad-tr-1a004f10d96c|xquad-tr-3a955860c4e0|xquad-tr-9e485ba2d7c8|xquad-tr-b46b7e80499c|xquad-tr-65f5d5b07220|xquad-tr-57db7183a0c4|xquad-tr-4ba7d93f5f1d|xquad-tr-c70ce4ff4d58|xquad-tr-c2d7b0c4ce20|xquad-tr-b0a07a94d027|xquad-tr-172516aff4b2|xquad-tr-076a132122cb|xquad-tr-09da7e8547ec|xquad-tr-43edd7416494|xquad-tr-e4de0bd829f8|xquad-tr-340f1c764a20|xquad-tr-09adcd67a6a7,1.0,3516,xquad-tr-49c0972ee320|xquad-tr-1a02c22956bb|xquad-tr-102947b53d99|xquad-tr-1a004f10d96c|xquad-tr-3a955860c4e0,1494.4332080049207,False,,1492.8767500023241,94,5.479e-05,qwen/qwen3.7-flash,1419,,tr,1.0,1.0,1.0,1.0,5.479e-05,Amazon yağmur ormanı ne tür bir ormandır?,xquad-tr-5729e2316aef0514001550c4,1.0,1.0,nemli geniş yapraklı ormanıdır,0.0,0.0,,,,,,1.556458002596628,0,real,True,test,True
False,"Amazon yağmur ormanı, Güney Amerika'nın Amazon havzasının çoğunu kaplayan bir nemli geniş yapraklı ormandır [xquad-tr-49c0972ee320]. Bu bölge, dünyadaki en büyük ve en çok biyoçeşitliliğe sahip tropik yağmur ormanı alanını içermektedir [xquad-tr-49c0972ee320].",0.0,0.18181818181818182,D,xquad-tr-49c0972ee320|xquad-tr-1a02c22956bb|xquad-tr-102947b53d99|xquad-tr-1a004f10d96c|xquad-tr-3a955860c4e0|xquad-tr-9e485ba2d7c8|xquad-tr-b46b7e80499c|xquad-tr-65f5d5b07220|xquad-tr-57db7183a0c4|xquad-tr-4ba7d93f5f1d|xquad-tr-c70ce4ff4d58|xquad-tr-c2d7b0c4ce20|xquad-tr-b0a07a94d027|xquad-tr-172516aff4b2|xquad-tr-076a132122cb|xquad-tr-09da7e8547ec|xquad-tr-43edd7416494|xquad-tr-e4de0bd829f8|xquad-tr-340f1c764a20|xquad-tr-09adcd67a6a7,1.0,3464,xquad-tr-49c0972ee320|xquad-tr-9e485ba2d7c8|xquad-tr-102947b53d99|xquad-tr-1a02c22956bb|xquad-tr-1a004f10d96c,1995.8982499992999,False,,1505.9497499969439,94,5.515e-05,qwen/qwen3.7-flash,1431,,tr,1.0,1.0,1.0,1.0,0.000427144,Amazon yağmur ormanı ne tür bir ormandır?,xquad-tr-5729e2316aef0514001550c4,1.0,1.0,nemli geniş yapraklı ormanıdır,488.3920419997594,0.000371994,,8857,374,typesafe/jev-1.13,typesafe/jev-1.13-20260917,1.556458002596628,0,real,True,test,True
