abstained,answer,answer_em,answer_f1,branch,candidate_ids,citation_support_fraction,citation_validity,citation_verification_passed,context_chars,context_ids,context_routes,context_signals,embedding_index_cost_usd_once,embedding_index_input_tokens_once,end_to_end_ms,fallback,generation_error,generation_finish_reason,generation_ms,generator_completion_tokens,generator_cost_usd,generator_model,generator_prompt_tokens,index_ms_once,language,mrr_10_candidates,mrr_10_context,ndcg_10_candidates,ndcg_10_context,online_cost_usd,query,query_id,recall_candidate_k,recall_context_k,references,regeneration_count,replay_incremental_cost_usd,rerank_ms,reranker_cost_usd,reranker_details,reranker_error,reranker_input_tokens,reranker_output_tokens,reranker_requested_model,reranker_resolved_model,retrieval_cost_usd,retrieval_input_tokens,retrieval_ms,retry_count,run_kind,source_contains_gold,split,verification_checks,verification_cost_usd,verification_input_tokens,verification_ms,verification_output_tokens,wrong_answer
False,Panthers savunması 308 sayı bıraktı [xquad-tr-2b81f10d1c9b].,0.0,0.33333333333333337,K,xquad-tr-2b81f10d1c9b|xquad-tr-54ad3394fb35|xquad-tr-391129eff6d9|xquad-tr-102947b53d99|xquad-tr-f5c49da75e44|xquad-tr-660ba94e4a8b|xquad-tr-6434b8c478c4|xquad-tr-1a02c22956bb|xquad-tr-c70ce4ff4d58|xquad-tr-1b252cecccf1|xquad-tr-02b48bacfd77|xquad-tr-2a13deb186bd|xquad-tr-032f09b0043b|xquad-tr-07b450b99a51|xquad-tr-3235577fd416|xquad-tr-34fa99e66bd1|xquad-tr-04c15ed36672|xquad-tr-301b639f3ac9|xquad-tr-13344c31f203|xquad-tr-076a132122cb,,1.0,,3923,xquad-tr-2b81f10d1c9b|xquad-tr-54ad3394fb35|xquad-tr-391129eff6d9|xquad-tr-13344c31f203|xquad-tr-032f09b0043b,evidence|evidence|evidence|evidence|evidence,"[{},{},{},{},{}]",,,2137.54749999498,False,,stop,1080.1872919982998,168,0.0007305,deepseek/deepseek-v4.1-flash,1763,,tr,1.0,1.0,1.0,1.0,0.00110556,Panthers savunması kaç sayı bırakmıştır?,xquad-tr-56beb4343aeaaa14008c925b,1.0,1.0,308,0,0.0007305,509.301707992563,0.00037506,"{""strategy"":""batch"",""exists"":null,""scores"":{""xquad-tr-2b81f10d1c9b"":0.96,""xquad-tr-54ad3394fb35"":0.06,""xquad-tr-391129eff6d9"":0.05,""xquad-tr-13344c31f203"":0.05,""xquad-tr-032f09b0043b"":0.03,""xquad-tr-07b450b99a51"":0.03,""xquad-tr-301b639f3ac9"":0.03,""xquad-tr-076a132122cb"":0.03,""xquad-tr-1a02c22956bb"":0.02,""xquad-tr-c70ce4ff4d58"":0.02,""xquad-tr-1b252cecccf1"":0.02,""xquad-tr-02b48bacfd77"":0.02,""xquad-tr-2a13deb186bd"":0.02,""xquad-tr-3235577fd416"":0.02,""xquad-tr-34fa99e66bd1"":0.02,""xquad-tr-04c15ed36672"":0.02,""xquad-tr-102947b53d99"":0.01,""xquad-tr-f5c49da75e44"":0.01,""xquad-tr-660ba94e4a8b"":0.01,""xquad-tr-6434b8c478c4"":0.01}}",,8930,374,typesafe/jev-1.13,typesafe/jev-1.13-20260917,1.2e-07,12,548.0585000041174,0,real,True,test,,0.0,0,0.0,0,True
False,Jared Allen'ın 136 kariyer sack'i vardır [xquad-tr-2b81f10d1c9b].,0.0,0.2857142857142857,K,xquad-tr-2b81f10d1c9b|xquad-tr-94de63f55db8|xquad-tr-391129eff6d9|xquad-tr-ff7d0fa77806|xquad-tr-6b70e4d40c90|xquad-tr-3ef5f57c6f4b|xquad-tr-138af7162b1d|xquad-tr-41d0eeaba356|xquad-tr-0395d7cf3439|xquad-tr-71addbef986e|xquad-tr-54ad3394fb35|xquad-tr-78d4b5c3b411|xquad-tr-1a02c22956bb|xquad-tr-e43356118978|xquad-tr-102947b53d99|xquad-tr-1b0c70acfbe4|xquad-tr-076a132122cb|xquad-tr-301b639f3ac9|xquad-tr-193e3666bbf5|xquad-tr-01a436bd8738,,1.0,,4377,xquad-tr-2b81f10d1c9b|xquad-tr-6b70e4d40c90|xquad-tr-54ad3394fb35|xquad-tr-1a02c22956bb|xquad-tr-e43356118978,evidence|evidence|evidence|evidence|evidence,"[{},{},{},{},{}]",,,5783.956790997763,False,,stop,4504.109624991543,194,0.0008199,deepseek/deepseek-v4.1-flash,1957,,tr,1.0,1.0,1.0,1.0,0.001176732,Jared Allen'ın kaç tane kariyer sack edişi vardır?,xquad-tr-56beb4343aeaaa14008c925c,1.0,1.0,136,0,0.0008199,561.6309159959201,0.000356832,"{""strategy"":""batch"",""exists"":null,""scores"":{""xquad-tr-2b81f10d1c9b"":0.72,""xquad-tr-6b70e4d40c90"":0.03,""xquad-tr-54ad3394fb35"":0.03,""xquad-tr-1a02c22956bb"":0.03,""xquad-tr-e43356118978"":0.03,""xquad-tr-102947b53d99"":0.03,""xquad-tr-076a132122cb"":0.03,""xquad-tr-301b639f3ac9"":0.03,""xquad-tr-94de63f55db8"":0.02,""xquad-tr-391129eff6d9"":0.02,""xquad-tr-3ef5f57c6f4b"":0.02,""xquad-tr-41d0eeaba356"":0.02,""xquad-tr-0395d7cf3439"":0.02,""xquad-tr-71addbef986e"":0.02,""xquad-tr-78d4b5c3b411"":0.02,""xquad-tr-1b0c70acfbe4"":0.02,""xquad-tr-193e3666bbf5"":0.02,""xquad-tr-ff7d0fa77806"":0.01,""xquad-tr-138af7162b1d"":0.01,""xquad-tr-01a436bd8738"":0.01}}",,8496,374,typesafe/jev-1.13,typesafe/jev-1.13-20260917,1.6e-07,16,718.2162500103004,0,real,True,test,,0.0,0,0.0,0,True
False,Luke Kuechly 118 top çalma kaydetmiştir [xquad-tr-2b81f10d1c9b].,0.0,0.2857142857142857,K,xquad-tr-2b81f10d1c9b|xquad-tr-02b48bacfd77|xquad-tr-0395d7cf3439|xquad-tr-028bfe64cad5|xquad-tr-076a132122cb|xquad-tr-1205a55bc8be|xquad-tr-00131885f61f|xquad-tr-1005ea8ca58f|xquad-tr-1b9bdfc6fcad|xquad-tr-02d7ab96e83c|xquad-tr-13344c31f203|xquad-tr-391129eff6d9|xquad-tr-138af7162b1d|xquad-tr-01a436bd8738|xquad-tr-41d0eeaba356|xquad-tr-193e3666bbf5|xquad-tr-3ecd8572f796|xquad-tr-032f09b0043b|xquad-tr-54ad3394fb35|xquad-tr-09da7e8547ec,,1.0,,3467,xquad-tr-2b81f10d1c9b|xquad-tr-138af7162b1d|xquad-tr-391129eff6d9|xquad-tr-032f09b0043b|xquad-tr-193e3666bbf5,evidence|evidence|evidence|evidence|evidence,"[{},{},{},{},{}]",,,4194.030916973134,False,,stop,3097.3783749941504,172,0.00029134,deepseek/deepseek-v4.1-flash,1565,,tr,1.0,1.0,1.0,1.0,0.000701974,Luke Kuechly kaç tane top çalma kaydetmiştir?,xquad-tr-56beb4343aeaaa14008c925d,1.0,1.0,118,0,0.00029134,537.536124989856,0.000410634,"{""strategy"":""batch"",""exists"":null,""scores"":{""xquad-tr-2b81f10d1c9b"":0.84,""xquad-tr-138af7162b1d"":0.06,""xquad-tr-391129eff6d9"":0.05,""xquad-tr-032f09b0043b"":0.05,""xquad-tr-193e3666bbf5"":0.04,""xquad-tr-3ecd8572f796"":0.04,""xquad-tr-54ad3394fb35"":0.04,""xquad-tr-09da7e8547ec"":0.04,""xquad-tr-13344c31f203"":0.03,""xquad-tr-01a436bd8738"":0.03,""xquad-tr-41d0eeaba356"":0.03,""xquad-tr-076a132122cb"":0.02,""xquad-tr-00131885f61f"":0.02,""xquad-tr-1005ea8ca58f"":0.02,""xquad-tr-1b9bdfc6fcad"":0.02,""xquad-tr-02d7ab96e83c"":0.02,""xquad-tr-02b48bacfd77"":0.01,""xquad-tr-0395d7cf3439"":0.01,""xquad-tr-028bfe64cad5"":0.01,""xquad-tr-1205a55bc8be"":0.01}}",,9777,374,typesafe/jev-1.13,typesafe/jev-1.13-20260917,1.5e-07,15,559.1164169891272,0,real,True,test,,0.0,0,0.0,0,True
False,Josh Norman dört top kapma geliştirmiştir [xquad-tr-2b81f10d1c9b].,0.0,0.2857142857142857,K,xquad-tr-2b81f10d1c9b|xquad-tr-54ad3394fb35|xquad-tr-2096d87118ed|xquad-tr-4a2711d06cb1|xquad-tr-85c908dac685|xquad-tr-b0a07a94d027|xquad-tr-076a132122cb|xquad-tr-02b48bacfd77|xquad-tr-340f1c764a20|xquad-tr-1a02c22956bb|xquad-tr-41d0eeaba356|xquad-tr-391129eff6d9|xquad-tr-102947b53d99|xquad-tr-01a436bd8738|xquad-tr-028bfe64cad5|xquad-tr-13344c31f203|xquad-tr-1205a55bc8be|xquad-tr-3235577fd416|xquad-tr-3ecd8572f796|xquad-tr-1955dfb7dcf8,,1.0,,4902,xquad-tr-2b81f10d1c9b|xquad-tr-340f1c764a20|xquad-tr-391129eff6d9|xquad-tr-54ad3394fb35|xquad-tr-102947b53d99,evidence|evidence|evidence|evidence|evidence,"[{},{},{},{},{}]",,,16259.885374980513,False,,stop,15148.481499985792,221,0.00041661,deepseek/deepseek-v4.1-flash,2202,,tr,1.0,1.0,1.0,1.0,0.000823548,Josh Norman kaç tane top çalmıştır?,xquad-tr-56beb4343aeaaa14008c925e,1.0,1.0,dört,0,0.00041661,572.0982079947134,0.000406938,"{""strategy"":""batch"",""exists"":null,""scores"":{""xquad-tr-2b81f10d1c9b"":0.93,""xquad-tr-340f1c764a20"":0.07,""xquad-tr-391129eff6d9"":0.07,""xquad-tr-54ad3394fb35"":0.06,""xquad-tr-102947b53d99"":0.03,""xquad-tr-01a436bd8738"":0.03,""xquad-tr-028bfe64cad5"":0.03,""xquad-tr-1205a55bc8be"":0.03,""xquad-tr-3235577fd416"":0.03,""xquad-tr-2096d87118ed"":0.02,""xquad-tr-4a2711d06cb1"":0.02,""xquad-tr-85c908dac685"":0.02,""xquad-tr-b0a07a94d027"":0.02,""xquad-tr-076a132122cb"":0.02,""xquad-tr-02b48bacfd77"":0.02,""xquad-tr-1a02c22956bb"":0.02,""xquad-tr-41d0eeaba356"":0.02,""xquad-tr-13344c31f203"":0.02,""xquad-tr-3ecd8572f796"":0.02,""xquad-tr-1955dfb7dcf8"":0.01}}",,9689,374,typesafe/jev-1.13,typesafe/jev-1.13-20260917,1e-07,10,539.3056670000078,0,real,True,test,,0.0,0,0.0,0,True
False,Bu sezon takımda en fazla sack kaydeden oyuncu Kawann Short’tur; 11 sack yapmıştır [xquad-tr-2b81f10d1c9b].,0.0,0.13333333333333336,K,xquad-tr-2b81f10d1c9b|xquad-tr-138af7162b1d|xquad-tr-391129eff6d9|xquad-tr-94de63f55db8|xquad-tr-0829db2785c8|xquad-tr-e43356118978|xquad-tr-3257da1da5c9|xquad-tr-3235577fd416|xquad-tr-9683af0ea7d1|xquad-tr-193e3666bbf5|xquad-tr-65f29f3619dd|xquad-tr-660ba94e4a8b|xquad-tr-02b48bacfd77|xquad-tr-c7f949af8938|xquad-tr-c2d7b0c4ce20|xquad-tr-5d70ee8e7c91|xquad-tr-7af23ea5eb6c|xquad-tr-d300e98e09f7|xquad-tr-d22d36d2718f|xquad-tr-5efd004121af,,1.0,,3334,xquad-tr-2b81f10d1c9b|xquad-tr-391129eff6d9|xquad-tr-02b48bacfd77|xquad-tr-c7f949af8938|xquad-tr-94de63f55db8,evidence|evidence|evidence|evidence|evidence,"[{},{},{},{},{}]",,,4498.999999996158,False,,stop,2916.819083999144,321,0.00055462,deepseek/deepseek-v4.1-flash,1558,,tr,1.0,1.0,1.0,1.0,0.0008987680000000001,Bu sezon takımdaki en fazla sack etmeyi kim kaydetmiştir?,xquad-tr-56beb4343aeaaa14008c925f,1.0,1.0,Kawann Short,0,0.00055462,523.0284160061274,0.000344148,"{""strategy"":""batch"",""exists"":null,""scores"":{""xquad-tr-2b81f10d1c9b"":0.89,""xquad-tr-391129eff6d9"":0.03,""xquad-tr-02b48bacfd77"":0.03,""xquad-tr-c7f949af8938"":0.03,""xquad-tr-94de63f55db8"":0.02,""xquad-tr-0829db2785c8"":0.02,""xquad-tr-193e3666bbf5"":0.02,""xquad-tr-65f29f3619dd"":0.02,""xquad-tr-c2d7b0c4ce20"":0.02,""xquad-tr-5d70ee8e7c91"":0.02,""xquad-tr-7af23ea5eb6c"":0.02,""xquad-tr-d300e98e09f7"":0.02,""xquad-tr-d22d36d2718f"":0.02,""xquad-tr-138af7162b1d"":0.01,""xquad-tr-e43356118978"":0.01,""xquad-tr-3257da1da5c9"":0.01,""xquad-tr-3235577fd416"":0.01,""xquad-tr-9683af0ea7d1"":0.01,""xquad-tr-660ba94e4a8b"":0.01,""xquad-tr-5efd004121af"":0.01}}",,8194,374,typesafe/jev-1.13,typesafe/jev-1.13-20260917,1.6e-07,16,1059.152499990887,0,real,True,test,,0.0,0,0.0,0,True
False,Bölge turunda Broncos'a Pittsburgh Steelers kaybetmiştir [xquad-tr-391129eff6d9].,0.0,0.5,K,xquad-tr-391129eff6d9|xquad-tr-94de63f55db8|xquad-tr-54ad3394fb35|xquad-tr-ff7d0fa77806|xquad-tr-33a85f292858|xquad-tr-2b81f10d1c9b|xquad-tr-3ec52ccce002|xquad-tr-1b252cecccf1|xquad-tr-102947b53d99|xquad-tr-138af7162b1d|xquad-tr-49c0972ee320|xquad-tr-1b9bdfc6fcad|xquad-tr-09adcd67a6a7|xquad-tr-1a02c22956bb|xquad-tr-3235577fd416|xquad-tr-2a13deb186bd|xquad-tr-04c15ed36672|xquad-tr-65f29f3619dd|xquad-tr-7208ece436ee|xquad-tr-e43356118978,,1.0,,3624,xquad-tr-391129eff6d9|xquad-tr-54ad3394fb35|xquad-tr-2b81f10d1c9b|xquad-tr-09adcd67a6a7|xquad-tr-94de63f55db8,evidence|evidence|evidence|evidence|evidence,"[{},{},{},{},{}]",,,4441.092875000322,False,,stop,3496.13645800855,156,0.000638448,deepseek/deepseek-v4.1-flash,1640,,tr,1.0,1.0,1.0,1.0,0.001020354,Broncos'a bölge turunda kim kaybetmiştir?,xquad-tr-56beb7953aeaaa14008c92ab,1.0,1.0,Pittsburgh Steelers,0,0.000638448,484.8818339960417,0.000381906,"{""strategy"":""batch"",""exists"":null,""scores"":{""xquad-tr-391129eff6d9"":0.9,""xquad-tr-54ad3394fb35"":0.47,""xquad-tr-2b81f10d1c9b"":0.11,""xquad-tr-09adcd67a6a7"":0.04,""xquad-tr-94de63f55db8"":0.03,""xquad-tr-1b9bdfc6fcad"":0.03,""xquad-tr-1a02c22956bb"":0.03,""xquad-tr-3235577fd416"":0.03,""xquad-tr-2a13deb186bd"":0.03,""xquad-tr-65f29f3619dd"":0.03,""xquad-tr-7208ece436ee"":0.03,""xquad-tr-ff7d0fa77806"":0.02,""xquad-tr-33a85f292858"":0.02,""xquad-tr-3ec52ccce002"":0.02,""xquad-tr-1b252cecccf1"":0.02,""xquad-tr-102947b53d99"":0.02,""xquad-tr-138af7162b1d"":0.02,""xquad-tr-49c0972ee320"":0.02,""xquad-tr-04c15ed36672"":0.02,""xquad-tr-e43356118978"":0.02}}",,9093,374,typesafe/jev-1.13,typesafe/jev-1.13-20260917,1.4e-07,14,460.07458299573045,0,real,True,test,,0.0,0,0.0,0,False
False,"Broncos, Pittsburgh Steelers karşısında maçın son üç dakikasında 11 sayı almıştır [xquad-tr-391129eff6d9].",0.0,0.16666666666666669,K,xquad-tr-391129eff6d9|xquad-tr-54ad3394fb35|xquad-tr-94de63f55db8|xquad-tr-2b81f10d1c9b|xquad-tr-3a955860c4e0|xquad-tr-3549ea4088fa|xquad-tr-515e520983bf|xquad-tr-04c15ed36672|xquad-tr-cf9d3c41c0ee|xquad-tr-496fa29a1810|xquad-tr-5550c7743e65|xquad-tr-3ef5f57c6f4b|xquad-tr-102947b53d99|xquad-tr-7576438f5501|xquad-tr-32ef242629e9|xquad-tr-032f09b0043b|xquad-tr-1b252cecccf1|xquad-tr-02b48bacfd77|xquad-tr-ffacd5692de7|xquad-tr-1205a55bc8be,,1.0,,4227,xquad-tr-391129eff6d9|xquad-tr-54ad3394fb35|xquad-tr-cf9d3c41c0ee|xquad-tr-2b81f10d1c9b|xquad-tr-7576438f5501,evidence|evidence|evidence|evidence|evidence,"[{},{},{},{},{}]",,,23669.880125002237,False,,stop,22596.166249990347,157,0.000345735,deepseek/deepseek-v4.1-flash,1933,,tr,1.0,1.0,1.0,1.0,0.000705507,"Broncos, Pittsburgh karşısında maçın son üç dakikasında kaç puan almıştır?",xquad-tr-56beb7953aeaaa14008c92ac,1.0,1.0,11,0,0.000345735,637.8637500019977,0.000359772,"{""strategy"":""batch"",""exists"":null,""scores"":{""xquad-tr-391129eff6d9"":0.93,""xquad-tr-54ad3394fb35"":0.06,""xquad-tr-cf9d3c41c0ee"":0.04,""xquad-tr-2b81f10d1c9b"":0.03,""xquad-tr-7576438f5501"":0.03,""xquad-tr-ffacd5692de7"":0.03,""xquad-tr-94de63f55db8"":0.02,""xquad-tr-3a955860c4e0"":0.02,""xquad-tr-04c15ed36672"":0.02,""xquad-tr-5550c7743e65"":0.02,""xquad-tr-3ef5f57c6f4b"":0.02,""xquad-tr-102947b53d99"":0.02,""xquad-tr-32ef242629e9"":0.02,""xquad-tr-1b252cecccf1"":0.02,""xquad-tr-02b48bacfd77"":0.02,""xquad-tr-1205a55bc8be"":0.02,""xquad-tr-3549ea4088fa"":0.01,""xquad-tr-515e520983bf"":0.01,""xquad-tr-496fa29a1810"":0.01,""xquad-tr-032f09b0043b"":0.01}}",,8566,374,typesafe/jev-1.13,typesafe/jev-1.13-20260917,1.8e-07,18,435.8501250098925,0,real,True,test,,0.0,0,0.0,0,True
False,Super Bowl XLIX'i New England Patriots kazanmıştır [xquad-tr-391129eff6d9].,0.0,0.6,K,xquad-tr-391129eff6d9|xquad-tr-94de63f55db8|xquad-tr-2b81f10d1c9b|xquad-tr-138af7162b1d|xquad-tr-94077ca0db25|xquad-tr-193e3666bbf5|xquad-tr-ff7d0fa77806|xquad-tr-f3632c9a76b7|xquad-tr-1205a55bc8be|xquad-tr-e43356118978|xquad-tr-7af23ea5eb6c|xquad-tr-4a841f83d10a|xquad-tr-640a0af166e5|xquad-tr-65f29f3619dd|xquad-tr-54ad3394fb35|xquad-tr-1955dfb7dcf8|xquad-tr-cd8ba035f736|xquad-tr-86491cd136e1|xquad-tr-8116185d96cb|xquad-tr-028bfe64cad5,,1.0,,3805,xquad-tr-391129eff6d9|xquad-tr-54ad3394fb35|xquad-tr-65f29f3619dd|xquad-tr-94de63f55db8|xquad-tr-2b81f10d1c9b,evidence|evidence|evidence|evidence|evidence,"[{},{},{},{},{}]",,,4966.8989589990815,False,,stop,3947.5546250032494,198,0.000235788,deepseek/deepseek-v4.1-flash,1711,,tr,1.0,1.0,1.0,1.0,0.0005951820000000001,Super Bowl XLIX'i kim kazanmıştır?,xquad-tr-56beb7953aeaaa14008c92ad,1.0,1.0,New England Patriots,0,0.000235788,499.491875001695,0.000359394,"{""strategy"":""batch"",""exists"":null,""scores"":{""xquad-tr-391129eff6d9"":0.78,""xquad-tr-54ad3394fb35"":0.44,""xquad-tr-65f29f3619dd"":0.37,""xquad-tr-94de63f55db8"":0.24,""xquad-tr-2b81f10d1c9b"":0.13,""xquad-tr-1955dfb7dcf8"":0.11,""xquad-tr-640a0af166e5"":0.04,""xquad-tr-4a841f83d10a"":0.03,""xquad-tr-cd8ba035f736"":0.03,""xquad-tr-94077ca0db25"":0.02,""xquad-tr-1205a55bc8be"":0.02,""xquad-tr-e43356118978"":0.02,""xquad-tr-7af23ea5eb6c"":0.02,""xquad-tr-86491cd136e1"":0.02,""xquad-tr-8116185d96cb"":0.02,""xquad-tr-028bfe64cad5"":0.02,""xquad-tr-138af7162b1d"":0.01,""xquad-tr-193e3666bbf5"":0.01,""xquad-tr-ff7d0fa77806"":0.01,""xquad-tr-f3632c9a76b7"":0.01}}",,8557,374,typesafe/jev-1.13,typesafe/jev-1.13-20260917,1.2e-07,12,519.8524589941371,0,real,True,test,,0.0,0,0.0,0,False
False,"AFC Şampiyonluk Oyunu'nda Broncos, New England Patriots'u 20–18 yendi [xquad-tr-391129eff6d9].",0.0,0.19999999999999998,K,xquad-tr-391129eff6d9|xquad-tr-138af7162b1d|xquad-tr-02b48bacfd77|xquad-tr-e43356118978|xquad-tr-2b81f10d1c9b|xquad-tr-01a436bd8738|xquad-tr-1955dfb7dcf8|xquad-tr-193e3666bbf5|xquad-tr-1b252cecccf1|xquad-tr-1205a55bc8be|xquad-tr-54ad3394fb35|xquad-tr-3ecd8572f796|xquad-tr-102947b53d99|xquad-tr-032f09b0043b|xquad-tr-00131885f61f|xquad-tr-02d7ab96e83c|xquad-tr-94de63f55db8|xquad-tr-0395d7cf3439|xquad-tr-676f15c5743e|xquad-tr-94077ca0db25,,1.0,,4001,xquad-tr-391129eff6d9|xquad-tr-54ad3394fb35|xquad-tr-3ecd8572f796|xquad-tr-2b81f10d1c9b|xquad-tr-102947b53d99,evidence|evidence|evidence|evidence|evidence,"[{},{},{},{},{}]",,,6026.461916000699,False,,stop,3914.02641600871,120,0.0003045,deepseek/deepseek-v4.1-flash,1815,,tr,1.0,1.0,1.0,1.0,0.000664776,AFC Şampiyonluk Oyunu final skoru neydi?,xquad-tr-56beb7953aeaaa14008c92ae,1.0,1.0,20–18,0,0.0003045,531.9746659952216,0.000360276,"{""strategy"":""batch"",""exists"":null,""scores"":{""xquad-tr-391129eff6d9"":0.96,""xquad-tr-54ad3394fb35"":0.41,""xquad-tr-3ecd8572f796"":0.3,""xquad-tr-2b81f10d1c9b"":0.26,""xquad-tr-102947b53d99"":0.08,""xquad-tr-94de63f55db8"":0.08,""xquad-tr-01a436bd8738"":0.07,""xquad-tr-00131885f61f"":0.06,""xquad-tr-02d7ab96e83c"":0.05,""xquad-tr-0395d7cf3439"":0.05,""xquad-tr-1b252cecccf1"":0.04,""xquad-tr-032f09b0043b"":0.04,""xquad-tr-676f15c5743e"":0.04,""xquad-tr-02b48bacfd77"":0.02,""xquad-tr-1955dfb7dcf8"":0.02,""xquad-tr-193e3666bbf5"":0.02,""xquad-tr-1205a55bc8be"":0.02,""xquad-tr-94077ca0db25"":0.02,""xquad-tr-138af7162b1d"":0.01,""xquad-tr-e43356118978"":0.01}}",,8578,374,typesafe/jev-1.13,typesafe/jev-1.13-20260917,1.4e-07,14,1580.4608339967672,0,real,True,test,,0.0,0,0.0,0,True
False,Saat üzerinde 17 saniye kalmıştı [xquad-tr-391129eff6d9].,0.0,0.5714285714285715,K,xquad-tr-391129eff6d9|xquad-tr-54ad3394fb35|xquad-tr-2b81f10d1c9b|xquad-tr-515e520983bf|xquad-tr-94de63f55db8|xquad-tr-cc3cff2b6711|xquad-tr-193e3666bbf5|xquad-tr-d3201e523e0b|xquad-tr-cf9d3c41c0ee|xquad-tr-da0a49ac3dbf|xquad-tr-2a13deb186bd|xquad-tr-3a955860c4e0|xquad-tr-58f04ac166fc|xquad-tr-3549ea4088fa|xquad-tr-676f15c5743e|xquad-tr-65ec3003bd84|xquad-tr-04c15ed36672|xquad-tr-ca63f8e093d8|xquad-tr-57db7183a0c4|xquad-tr-61d21e7047fd,,1.0,,4013,xquad-tr-391129eff6d9|xquad-tr-54ad3394fb35|xquad-tr-2b81f10d1c9b|xquad-tr-94de63f55db8|xquad-tr-cc3cff2b6711,evidence|evidence|evidence|evidence|evidence,"[{},{},{},{},{}]",,,5544.857666987809,False,,stop,4285.151749994839,260,0.000273588,deepseek/deepseek-v4.1-flash,1795,,tr,1.0,1.0,1.0,1.0,0.0006314280000000001,"Broncos, AFC Şampiyonası maçını kökünden halleden top kapmayı yaptığı zaman saat üzerinde ne kadar süre kalmıştı?",xquad-tr-56beb7953aeaaa14008c92af,1.0,1.0,17 saniye,0,0.000273588,580.964666994987,0.00035784,"{""strategy"":""batch"",""exists"":null,""scores"":{""xquad-tr-391129eff6d9"":0.84,""xquad-tr-54ad3394fb35"":0.23,""xquad-tr-2b81f10d1c9b"":0.04,""xquad-tr-94de63f55db8"":0.03,""xquad-tr-cc3cff2b6711"":0.03,""xquad-tr-cf9d3c41c0ee"":0.03,""xquad-tr-3549ea4088fa"":0.03,""xquad-tr-676f15c5743e"":0.03,""xquad-tr-57db7183a0c4"":0.03,""xquad-tr-515e520983bf"":0.02,""xquad-tr-193e3666bbf5"":0.02,""xquad-tr-d3201e523e0b"":0.02,""xquad-tr-da0a49ac3dbf"":0.02,""xquad-tr-2a13deb186bd"":0.02,""xquad-tr-3a955860c4e0"":0.02,""xquad-tr-58f04ac166fc"":0.02,""xquad-tr-65ec3003bd84"":0.02,""xquad-tr-04c15ed36672"":0.02,""xquad-tr-ca63f8e093d8"":0.02,""xquad-tr-61d21e7047fd"":0.02}}",,8520,374,typesafe/jev-1.13,typesafe/jev-1.13-20260917,2.7e-07,27,678.7412499979837,0,real,True,test,,0.0,0,0.0,0,False
